iter	Passed	Remaining
0	58	58906
1	59	29549
2	59	19758
3	59	14868
4	60	11941
5	60	9984
6	60	8586
7	60	7537
8	61	6719
9	61	6067
10	62	5601
11	62	5150
12	62	4767
13	63	4439
14	63	4153
15	63	3904
16	63	3685
17	64	3493
18	64	3319
19	64	3162
20	64	3020
21	65	2891
22	65	2774
23	65	2666
24	65	2568
25	66	2478
26	66	2394
27	66	2314
28	66	2240
29	67	2171
30	67	2107
31	67	2047
32	67	1990
33	68	1938
34	68	1886
35	68	1838
36	68	1792
37	69	1748
38	69	1707
39	69	1668
40	69	1632
41	70	1597
42	70	1563
43	70	1531
44	70	1501
45	71	1472
46	72	1460
47	72	1434
48	72	1408
49	72	1384
50	73	1361
51	73	1339
52	73	1317
53	74	1296
54	74	1275
55	74	1256
56	74	1236
57	74	1217
58	75	1199
59	75	1181
60	75	1163
61	75	1147
62	76	1131
63	76	1115
64	76	1100
65	76	1086
66	76	1072
67	77	1056
68	77	1042
69	77	1029
70	77	1017
71	77	1004
72	78	993
73	78	981
74	78	970
75	79	960
76	79	950
77	79	941
78	79	931
79	80	922
80	80	912
81	80	903
82	81	895
83	81	886
84	81	876
85	81	868
86	81	858
87	81	849
88	82	841
89	82	833
90	82	825
91	82	817
92	83	809
93	83	802
94	83	795
95	83	788
96	83	781
97	84	774
98	84	767
99	84	761
100	84	754
101	84	747
102	85	741
103	85	735
104	85	729
105	85	724
106	86	718
107	86	713
108	86	708
109	86	703
110	87	697
111	87	692
112	87	688
113	87	682
114	88	677
115	88	672
116	88	667
117	88	662
118	88	657
119	89	652
120	89	648
121	89	643
122	89	638
123	89	633
124	89	629
125	90	625
126	90	621
127	90	616
128	90	612
129	91	609
130	91	605
131	91	601
132	91	598
133	92	594
134	92	591
135	92	587
136	92	584
137	92	580
138	93	577
139	93	573
140	93	570
141	93	566
142	93	563
143	94	559
144	94	556
145	94	553
146	94	550
147	95	547
148	95	544
149	95	541
150	95	538
151	96	535
152	96	533
153	96	530
154	96	527
155	97	524
156	97	522
157	97	519
158	97	516
159	97	513
160	98	511
161	98	508
162	98	505
163	98	503
164	99	501
165	99	498
166	99	496
167	99	493
168	99	491
169	100	488
170	100	486
171	100	484
172	100	482
173	101	480
174	101	478
175	101	476
176	102	474
177	102	472
178	102	470
179	102	468
180	102	465
181	103	463
182	103	461
183	103	459
184	103	457
185	104	455
186	104	453
187	104	451
188	104	450
189	105	448
190	105	446
191	105	444
192	105	442
193	108	449
194	108	447
195	108	446
196	109	444
197	109	442
198	109	440
199	109	439
200	110	437
201	110	435
202	110	433
203	110	431
204	110	430
205	111	428
206	111	426
207	111	424
208	111	422
209	111	421
210	112	419
211	112	417
212	112	416
213	112	414
214	113	413
215	113	411
216	113	409
217	113	408
218	114	406
219	114	405
220	114	403
221	114	402
222	114	400
223	115	399
224	115	397
225	115	396
226	115	394
227	116	393
228	116	391
229	116	390
230	116	388
231	116	387
232	117	385
233	117	384
234	117	382
235	117	381
236	118	380
237	118	378
238	118	377
239	118	375
240	118	374
241	119	373
242	119	371
243	119	370
244	119	369
245	120	367
246	120	367
247	120	366
248	121	365
249	121	364
250	121	363
251	121	362
252	122	361
253	122	360
254	122	359
255	123	358
256	123	357
257	123	356
258	124	354
259	124	353
260	124	352
261	124	351
262	124	349
263	125	348
264	125	347
265	125	346
266	125	345
267	125	343
268	126	342
269	126	341
270	126	340
271	126	338
272	126	337
273	126	336
274	127	335
275	127	334
276	127	332
277	127	331
278	127	330
279	128	329
280	128	328
281	128	327
282	128	325
283	128	324
284	128	323
285	129	322
286	129	321
287	129	320
288	129	319
289	129	318
290	130	317
291	130	315
292	130	314
293	130	313
294	130	312
295	131	311
296	131	310
297	131	309
298	131	308
299	131	307
300	131	306
301	132	305
302	132	304
303	132	303
304	132	302
305	132	301
306	133	300
307	133	299
308	133	298
309	133	297
310	133	296
311	134	295
312	134	294
313	134	293
314	134	292
315	134	291
316	134	290
317	135	289
318	135	288
319	135	287
320	135	287
321	135	286
322	136	285
323	136	284
324	136	283
325	136	282
326	136	281
327	137	280
328	137	279
329	137	279
330	137	278
331	137	277
332	137	276
333	138	275
334	138	274
335	138	273
336	138	273
337	138	272
338	139	271
339	139	270
340	139	269
341	139	269
342	140	268
343	140	267
344	140	266
345	140	266
346	141	265
347	141	264
348	141	263
349	141	263
350	142	262
351	142	261
352	142	261
353	142	260
354	142	259
355	143	258
356	143	258
357	143	258
358	144	257
359	144	256
360	144	256
361	144	255
362	145	254
363	145	253
364	145	253
365	145	252
366	145	251
367	146	250
368	146	250
369	146	249
370	146	249
371	147	248
372	147	247
373	147	247
374	147	246
375	148	245
376	148	245
377	148	244
378	148	243
379	149	243
380	149	242
381	149	241
382	149	241
383	149	240
384	150	239
385	150	239
